id,tool,status,reason,cmd,expected_exit,actual_exit,expected_stdout,actual_stdout,stderr
18,icgrep,PASS,line-number mode,icgrep -colors=never -v -n foo data/no_match.txt,0,0,1:zzz\n2:YYY\n3:123\n,1:zzz\n2:YYY\n3:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd8o\x01: No such file or directory\n"
19,icgrep,PASS,normal mode,icgrep -colors=never -v -i foo data/no_match.txt,0,0,zzz\nYYY\n123\n,zzz\nYYY\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdk\x01: No such file or directory\n"
20,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n foo data/no_match.txt,0,0,1:zzz\n2:YYY\n3:123\n,1:zzz\n2:YYY\n3:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H],o\x01: No such file or directory\n"
21,icgrep,PASS,count mode,icgrep -colors=never -c foo data/no_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdm\x01: No such file or directory\n"
22,icgrep,PASS,count mode,icgrep -colors=never -c -i foo data/no_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]qo\x01: No such file or directory\n"
23,icgrep,PASS,count mode,icgrep -colors=never -c -v foo data/no_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\u075ek\x01: No such file or directory\n"
24,icgrep,PASS,count mode,icgrep -colors=never -c -v -i foo data/no_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]Ym\x01: No such file or directory\n"
25,icgrep,PASS,normal mode,icgrep -colors=never foo data/one_match.txt,0,0,foo\n,foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd\x7fm\x01: No such file or directory\n"
26,icgrep,PASS,line-number mode,icgrep -colors=never -n foo data/one_match.txt,0,0,1:foo\n,1:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd_k\x01: No such file or directory\n"
27,icgrep,PASS,normal mode,icgrep -colors=never -i foo data/one_match.txt,0,0,foo\n,foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdk\x01: No such file or directory\n"
28,icgrep,PASS,line-number mode,icgrep -colors=never -i -n foo data/one_match.txt,0,0,1:foo\n,1:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\x0ek\x01: No such file or directory\n"
29,icgrep,PASS,normal mode,icgrep -colors=never -v foo data/one_match.txt,0,0,bar\nbaz\n,bar\nbaz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]Eo\x01: No such file or directory\n"
30,icgrep,PASS,line-number mode,icgrep -colors=never -v -n foo data/one_match.txt,0,0,2:bar\n3:baz\n,2:bar\n3:baz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\x10m\x01: No such file or directory\n"
31,icgrep,PASS,normal mode,icgrep -colors=never -v -i foo data/one_match.txt,0,0,bar\nbaz\n,bar\nbaz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdk\x01: No such file or directory\n"
32,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n foo data/one_match.txt,0,0,2:bar\n3:baz\n,2:bar\n3:baz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\x1ek\x01: No such file or directory\n"
33,icgrep,PASS,count mode,icgrep -colors=never -c foo data/one_match.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdk\x01: No such file or directory\n"
34,icgrep,PASS,count mode,icgrep -colors=never -c -i foo data/one_match.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\x02k\x01: No such file or directory\n"
35,icgrep,PASS,count mode,icgrep -colors=never -c -v foo data/one_match.txt,0,0,2\n,2\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdl\x01: No such file or directory\n"
36,icgrep,PASS,count mode,icgrep -colors=never -c -v -i foo data/one_match.txt,0,0,2\n,2\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]:k\x01: No such file or directory\n"
37,icgrep,PASS,normal mode,icgrep -colors=never foo data/many_match.txt,0,0,foo\nxfoo\nfoo\n,foo\nxfoo\nfoo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]Am\x01: No such file or directory\n"
38,icgrep,PASS,line-number mode,icgrep -colors=never -n foo data/many_match.txt,0,0,1:foo\n2:xfoo\n4:foo\n,1:foo\n2:xfoo\n4:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd0k\x01: No such file or directory\n"
39,icgrep,PASS,normal mode,icgrep -colors=never -i foo data/many_match.txt,0,0,foo\nxfoo\nFOO\nfoo\n,foo\nxfoo\nFOO\nfoo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd^m\x01: No such file or directory\n"
40,icgrep,PASS,line-number mode,icgrep -colors=never -i -n foo data/many_match.txt,0,0,1:foo\n2:xfoo\n3:FOO\n4:foo\n,1:foo\n2:xfoo\n3:FOO\n4:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdl\x01: No such file or directory\n"
41,icgrep,PASS,normal mode,icgrep -colors=never -v foo data/many_match.txt,0,0,FOO\n,FOO\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\x0bo\x01: No such file or directory\n"
42,icgrep,PASS,line-number mode,icgrep -colors=never -v -n foo data/many_match.txt,0,0,3:FOO\n,3:FOO\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdl\x01: No such file or directory\n"
43,icgrep,PASS,normal mode,icgrep -colors=never -v -i foo data/many_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\x1dk\x01: No such file or directory\n"
44,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n foo data/many_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\x17m\x01: No such file or directory\n"
45,icgrep,PASS,count mode,icgrep -colors=never -c foo data/many_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd\ufffdo\x01: No such file or directory\n"
46,icgrep,PASS,count mode,icgrep -colors=never -c -i foo data/many_match.txt,0,0,4\n,4\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd%k\x01: No such file or directory\n"
47,icgrep,PASS,count mode,icgrep -colors=never -c -v foo data/many_match.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1dXo\x01: No such file or directory\n"
48,icgrep,PASS,count mode,icgrep -colors=never -c -v -i foo data/many_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdj\x01: No such file or directory\n"
49,icgrep,PASS,normal mode,icgrep -colors=never foo data/unicode_content.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdm\x01: No such file or directory\n"
50,icgrep,PASS,line-number mode,icgrep -colors=never -n foo data/unicode_content.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdo\x01: No such file or directory\n"
51,icgrep,PASS,normal mode,icgrep -colors=never -i foo data/unicode_content.txt,0,0,FOO\n,FOO\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdXk\x01: No such file or directory\n"
52,icgrep,PASS,line-number mode,icgrep -colors=never -i -n foo data/unicode_content.txt,0,0,2:FOO\n,2:FOO\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdSo\x01: No such file or directory\n"
53,icgrep,PASS,normal mode,icgrep -colors=never -v foo data/unicode_content.txt,0,0,caf\xe9\nFOO\n\u5317\u4eac\nna\xefve\n123\n,caf\xe9\nFOO\n\u5317\u4eac\nna\xefve\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd>o\x01: No such file or directory\n"
54,icgrep,PASS,line-number mode,icgrep -colors=never -v -n foo data/unicode_content.txt,0,0,1:caf\xe9\n2:FOO\n3:\u5317\u4eac\n4:na\xefve\n5:123\n,1:caf\xe9\n2:FOO\n3:\u5317\u4eac\n4:na\xefve\n5:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdj\x01: No such file or directory\n"
55,icgrep,PASS,normal mode,icgrep -colors=never -v -i foo data/unicode_content.txt,0,0,caf\xe9\n\u5317\u4eac\nna\xefve\n123\n,caf\xe9\n\u5317\u4eac\nna\xefve\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdo\x01: No such file or directory\n"
56,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n foo data/unicode_content.txt,0,0,1:caf\xe9\n3:\u5317\u4eac\n4:na\xefve\n5:123\n,1:caf\xe9\n3:\u5317\u4eac\n4:na\xefve\n5:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdk\x01: No such file or directory\n"
57,icgrep,PASS,count mode,icgrep -colors=never -c foo data/unicode_content.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdam\x01: No such file or directory\n"
58,icgrep,PASS,count mode,icgrep -colors=never -c -i foo data/unicode_content.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdm\x01: No such file or directory\n"
59,icgrep,PASS,count mode,icgrep -colors=never -c -v foo data/unicode_content.txt,0,0,5\n,5\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]&k\x01: No such file or directory\n"
60,icgrep,PASS,count mode,icgrep -colors=never -c -v -i foo data/unicode_content.txt,0,0,4\n,4\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdl\x01: No such file or directory\n"
61,icgrep,FAIL,missing input path should return error,icgrep -colors=never foo data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\x06k\x01: No such file or directory\n"
62,icgrep,FAIL,missing input path should return error,icgrep -colors=never -i foo data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdpk\x01: No such file or directory\n"
63,icgrep,FAIL,missing input path should return error,icgrep -colors=never -v foo data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdo\x01: No such file or directory\n"
64,icgrep,FAIL,missing input path should return error,icgrep -colors=never -v -i foo data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]fm\x01: No such file or directory\n"
65,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c foo data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdm\x01: No such file or directory\n"
66,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -i foo data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdl\x01: No such file or directory\n"
67,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -v foo data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]Am\x01: No such file or directory\n"
68,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -v -i foo data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""(\ufffd\x0cm\x01: No such file or directory\n"
69,icgrep,PASS,normal mode,icgrep -colors=never '[f]oo' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdl\x01: No such file or directory\n"
70,icgrep,PASS,line-number mode,icgrep -colors=never -n '[f]oo' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdm\x01: No such file or directory\n"
71,icgrep,PASS,normal mode,icgrep -colors=never -i '[f]oo' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\ufffdk\x01: No such file or directory\n"
72,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '[f]oo' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdm\x01: No such file or directory\n"
73,icgrep,PASS,normal mode,icgrep -colors=never -v '[f]oo' data/empty.txt,0,0,\n,\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdm\x01: No such file or directory\n"
74,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '[f]oo' data/empty.txt,0,0,1:\n,1:\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdm\x01: No such file or directory\n"
75,icgrep,PASS,normal mode,icgrep -colors=never -v -i '[f]oo' data/empty.txt,0,0,\n,\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdm\x01: No such file or directory\n"
76,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n '[f]oo' data/empty.txt,0,0,1:\n,1:\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdo\x01: No such file or directory\n"
77,icgrep,PASS,count mode,icgrep -colors=never -c '[f]oo' data/empty.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd\ufffdm\x01: No such file or directory\n"
78,icgrep,PASS,count mode,icgrep -colors=never -c -i '[f]oo' data/empty.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\x14k\x01: No such file or directory\n"
79,icgrep,PASS,count mode,icgrep -colors=never -c -v '[f]oo' data/empty.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdo\x01: No such file or directory\n"
80,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '[f]oo' data/empty.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdo\x01: No such file or directory\n"
81,icgrep,PASS,normal mode,icgrep -colors=never '[f]oo' data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd0m\x01: No such file or directory\n"
82,icgrep,PASS,line-number mode,icgrep -colors=never -n '[f]oo' data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]>o\x01: No such file or directory\n"
83,icgrep,PASS,normal mode,icgrep -colors=never -i '[f]oo' data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd(o\x01: No such file or directory\n"
84,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '[f]oo' data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\x19k\x01: No such file or directory\n"
85,icgrep,PASS,normal mode,icgrep -colors=never -v '[f]oo' data/no_match.txt,0,0,zzz\nYYY\n123\n,zzz\nYYY\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd\ufffdm\x01: No such file or directory\n"
86,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '[f]oo' data/no_match.txt,0,0,1:zzz\n2:YYY\n3:123\n,1:zzz\n2:YYY\n3:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdk\x01: No such file or directory\n"
87,icgrep,PASS,normal mode,icgrep -colors=never -v -i '[f]oo' data/no_match.txt,0,0,zzz\nYYY\n123\n,zzz\nYYY\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\u0762k\x01: No such file or directory\n"
88,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n '[f]oo' data/no_match.txt,0,0,1:zzz\n2:YYY\n3:123\n,1:zzz\n2:YYY\n3:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\u074eo\x01: No such file or directory\n"
89,icgrep,PASS,count mode,icgrep -colors=never -c '[f]oo' data/no_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\ufffdk\x01: No such file or directory\n"
90,icgrep,PASS,count mode,icgrep -colors=never -c -i '[f]oo' data/no_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd;o\x01: No such file or directory\n"
91,icgrep,PASS,count mode,icgrep -colors=never -c -v '[f]oo' data/no_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd&k\x01: No such file or directory\n"
92,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '[f]oo' data/no_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\x0fk\x01: No such file or directory\n"
93,icgrep,PASS,normal mode,icgrep -colors=never '[f]oo' data/one_match.txt,0,0,foo\n,foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdn\x01: No such file or directory\n"
94,icgrep,PASS,line-number mode,icgrep -colors=never -n '[f]oo' data/one_match.txt,0,0,1:foo\n,1:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd\x16o\x01: No such file or directory\n"
95,icgrep,PASS,normal mode,icgrep -colors=never -i '[f]oo' data/one_match.txt,0,0,foo\n,foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\x1bm\x01: No such file or directory\n"
96,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '[f]oo' data/one_match.txt,0,0,1:foo\n,1:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdm\x01: No such file or directory\n"
97,icgrep,PASS,normal mode,icgrep -colors=never -v '[f]oo' data/one_match.txt,0,0,bar\nbaz\n,bar\nbaz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffdBo\x01: No such file or directory\n"
98,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '[f]oo' data/one_match.txt,0,0,2:bar\n3:baz\n,2:bar\n3:baz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdOk\x01: No such file or directory\n"
